Feature (en),Variable description,Additional explanation
address_latest_neighborhood_new_westen,"The most recent neighborhood of the customer (e.g., Cool, Liskwartier, etc.).",
address_latest_neighborhood_olde_north,"The most recent neighborhood of the customer (e.g., Cool, Liskwartier, etc.).",
address_latest_neighborhood_vreewijk,"The most recent neighborhood of the customer (e.g., Cool, Liskwartier, etc.).",
address_latest_place_other,The customer's most recent residence.,
address_latest_place_rotterdam,The customer's most recent residence.,
address_latest_district_ijsselmonde,"The most recent borough of the customer (e.g., City Center, North, etc.).",
address_latest_district_kralingen_c,"The most recent borough of the customer (e.g., City Center, North, etc.).",
address_latest_district_other,"The most recent borough of the customer (e.g., City Center, North, etc.).",
address_latest_district_city_center,"The most recent borough of the customer (e.g., City Center, North, etc.).",
appointment_registration_closed,"Number of appointments between customer and municipality, per type (e.g., progress of registration and participation, plan of approach, etc.).",
appointment_past_year_exemption,"Number of appointments between customer and municipality in the past 365 days, per type (e.g., registration progress and participation, action plan, etc.)",
appointment_past_year_plan_of_approach,"Number of appointments between customer and municipality in the past 365 days, per type (e.g., registration progress and participation, action plan, etc.)",
appointment_past_year_follow-up_matchability_job_seeker_client,"Number of appointments between customer and municipality in the past 365 days, per type (e.g., registration progress and participation, action plan, etc.)",
appointment_past_year_progress_registration_and_participation,"Number of appointments between customer and municipality in the past 365 days, per type (e.g., registration progress and participation, action plan, etc.)",
appointment_appointment_plan,"Number of appointments between customer and municipality, per type (e.g., progress of registration and participation, plan of approach, etc.).",
appointment_check_reference,"Number of appointments between customer and municipality, per type (e.g., progress of registration and participation, plan of approach, etc.).",
appointment_participation_complete_out_web_application,"Number of appointments between customer and municipality, per type (e.g., progress of registration and participation, plan of approach, etc.).",
appointment_galo_conversation,"Number of appointments between customer and municipality, per type (e.g., progress of registration and participation, plan of approach, etc.).",
appointment_latest_year_result_filled,Number of appointments between customer and municipality in the past 365 days,
appointment_other,"Number of appointments between customer and municipality, per type (e.g., progress of registration and participation, plan of approach, etc.).",
appointment_follow_up_measurement_matchability_jobseeker_customer,"Number of appointments between customer and municipality, per type (e.g., progress of registration and participation, plan of approach, etc.).",
appointment_progress_meeting,"Number of appointments between customer and municipality, per type (e.g., progress of registration and participation, plan of approach, etc.).",
obstacle_number_current,"Whether the customer has current barriers, per type (1.0) (e.g., childcare, financial problems, etc.).",
obstacle_hist_physical_problems,"Historical number of customer barriers, by type (e.g., childcare, financial problems, etc.).",
obstacle_hist_psychological_problems,"Historical number of customer barriers, by type (e.g., childcare, financial problems, etc.).",
obstacle_hist_stable_mix_social_security_daytime_activities_work,"Historical number of customer barriers, by type (e.g., childcare, financial problems, etc.).","The description 'stable mix' expresses that it concerns a job seeker who had many problems, but who have had their life reasonably back in order after guidance."
obstacle_hist_language,"Historical number of customer barriers, by type (e.g., childcare, financial problems, etc.).",
obstacle_ind,"Whether the customer has current barriers, per type (1.0) (e.g., childcare, financial problems, etc.).",
obstacle_ind_hist,"Whether the customer has historically experienced a barrier, by type (1.0) (e.g. childcare, financial problems, etc.).",
obstacle_not_computer literate,"Whether the customer has current barriers, per type (1.0) (e.g., childcare, financial problems, etc.).",
